	Аахен		Аахенъ
 	аксельбант		аксельбантъ и эксельбантъ	 
 	Аксён		Аксёнъ	 
 	Аксёнов		Аксёновъ	 
 	аксессуар		аксессуаръ	 
 	аксиома		аксіома	 
 	акт		актъ, въ третьемъ актѣ	 
 	актёр		актёръ, объ актёрѣ	 
 	актёришка		актёришка	 
 	актёрское		актёрское, актёрскаго	 
 	активного		активнаго	 
 	активное		активное	 
 	активные		активные, активныя	 
 	активный		активный, активнаго	 
 	актуарий		актуарій	 
 	акустический		акустическій, акустическаго	 
 	акушерка		акушерка	 
 	акупрессура		акупрессура	 
 	акцент		акцентъ	 
 	акцепт		акцептъ	 
 	акцессия		акцессія	 
 	акциденция		акциденція	 
 	акциз		акцизъ	 
 	акции		акціи	 
 	акционер		акціонеръ	 
 	акционерное		акціонерное	 
 	акция		акція	 
 	акшамет		акшаметъ	 
 	албанец		албанецъ
 	Албания		Албанія	 
 	алгебра		алгебра, въ алгебрѣ	 
 	алгебраический		алгебраическій и алгебрическій	 
 	алгоритм		алгориѳмъ	 
 	алебарда		аллебарда	 
 	алебастр		алебастръ, алавастръ	 
 	Алевтина		Алевтина	 
 	алее		алѣе, но аленькій	 
 	алеет		алѣетъ, но аленькій	 
 	Александр		Александръ Александровичъ Александровъ, объ Александрѣ Александровичѣ Александровѣ	 
 	Александрия		Александрія	 
 	Александрийский		Александрійскій	 
 	Александро-Невская		Александро-Невская лавра	 
 	александрит		александритъ	 
 	Алексеев		Алексѣевъ	 
 	Алексеевич		Алексѣевичъ	 
 	Алексеенко		Алексѣенко	 
 	Алексей		Алексѣй, Алексѣемъ, при Алексѣѣ Михайловичѣ Романовѣ, Алексѣевъ, Алексѣевичъ	 
 	Алексий		Алексій	 
 	Алексин		Алексинъ	 
 	Алёна		Алёна	 
 	Алёнка		Алёнка	 
 	Алёнушка		Алёнушка	 
 	аленький		аленькій, но алѣетъ	 
 	Алеппо		Алеппо	 
 	алеть		алѣть, алѣетъ, алѣе, но аленькій	 
 	алеут		алеутъ	 
 	Алеутские		Алеутскіе	 
 	Алёша		Алёша, Алёха	 
 	Алёшенька		Алёшенька	 
 	Алёха		Алёха	 
 	Алжир		Алжиръ, Алжирія	 
 	аливрувер		аливруверъ	 
 	алименты		алименты	 
 	Алипий		Алипій, Алипіевичъ, Алипія, Алипіевна	 
 	Алкей		Алкей, Алкеевъ	 
 	алкоголем		алкоголемъ	 
 	алкоголик		алкоголикъ, объ алкоголикѣ	 
 	алкоголичка		алкоголичка, объ алкоголичкѣ	 
 	алкоголь		алкоголь, въ алкоголѣ	 
 	алкогольного		алкогольнаго	 
 	алкогольные		алкогольные, алкогольныя	 
 	алкогольный		алкогольный, алкогольнаго	 
 	Аллах		Аллахъ	 
 	аллегата		аллегата	 
 	аллегорический		аллегорическій	 
 	аллегория		аллегорія	 
 	аллегретто		аллегретто	 
 	аллегри		аллегри	 
 	аллегро		аллегро	 
 	аллейный		аллейный	 
 	аллея		аллея, по аллеѣ	 
 	аллигатор		алигаторъ	 
 	аллилуйя		аллилуія	 
 	аллитерация		аллитерація, альтерація	 
 	аллопатия		аллопатія	 
 	аллопеция		аллопеція	 
 	аллювиальный		аллювіальный	 
 	аллювий		аллювій	 
 	аллюзия		аллюзія	 
 	аллюр		аллюръ, въ аллюрѣ	 
 	алого		алаго	 
 	алое		алое	 
 	Алоизий		Алоизій	 
 	алоэ		алоэ	 
 	Алтаевъ		Алтаевъ	 
 	алтарь		алтарь и олтарь, на алтарѣ	 
 	алтей		алтей	 
 	алфавит		алфавитъ, въ алфавитѣ	 
 	Алфей		Алфей	 
 	Алфёров		Алфёровъ	 
 	алхимия		алхимія, алхимическій	 
 	альбедо		альбедо	 
 	альбинос		альбиносъ	 
 	Альбион		Альбіонъ	 
 	альбом		альбомъ, въ альбомѣ	 
 	Альбрехт		Альбрехтъ	 
 	альвеола		альвеола	 
 	альдегид		алдегидъ	 
 	альменда		альменда	 
 	альпеншток		альпенштокъ	 
 	альпийские		альпійскіе, альпійскія	 
 	альпийский		альпійскій, альпійскаго	 
 	альпийское		альпійское	 
 	альтернатива		альтернатива	 
 	альтер эго		альтеръ-эго	 
 	альтиметр		алтиметръ	 
 	альфа		альфа	 
 	альфонс		альфонсъ	 
 	альфреско		альфреско	 
 	алые		алые, алыя	 
 	алый		алый, алаго	 
 	алюминиевый		алюминіевый	 
 	алюминий		алюминій, глиній	 
 	Алябьев		Алябьевъ	 
 	Алябышев		Алябышевъ	 
 	аляповатый		аляповатый, оляповатый	 
 	аматёр		аматёръ
 	амбар		амбаръ, въ амбарѣ	 
 	амбаркадер		амбаркадеръ	 
 	амбиции		амбиціи, амбиція, амбицій	 
 	амбициозен		амбиціозенъ	 
 	амбициозное		амбиціозное	 
 	амбициозные		амбиціозные, амбиціозныя	 
 	амбициозный		амбиціозный, амбиціознаго	 
 	амблиопия		амбліопія	 
 	амбре		амбре	 
 	амброзия		амброзія	 
 	Амвросий		Амвросій	 
 	амёба		амёба	 
 	Америго		Америго Веспуччи	 
 	Америка		Америка	 
 	американец		американецъ, американскій, американскаго, американское	 
 	американские		американскіе, американскія	 
 	аметист		аметистъ	 
 	аминь		аминь	 
 	аммиак		амміакъ	 
 	аммоний		аммоній	 
 	амнезия		амнезія	 
 	амнистия		амнистія	 
 	аморфный		аморфный, аморфнаго	 
 	ампер		амперъ	 
 	Амплей		Амплей, Амплій	 
 	ампоше		ампоше	 
 	ампутация		ампутація	 
 	Амстердам		Амстердамъ, въ Амстердамѣ, амстердамскій	 
 	амулет		амулетъ	 
 	амуниция		амуниція	 
 	амур		амуръ, амурчикъ	 
 	Амур		Амуръ	 
 	Амур		Амуръ, на Амурѣ	 
 	амурец		амурецъ, амурцемъ, амурцевъ	 
 	амуры		амуры, амурныя дѣла, амурничать	 
 	амфибия		амфибія	 
 	амфибрахий		амфибрахій	 
 	амфитеатр		амфитеатръ, въ амфитеатрѣ	 
 	амфитрион		амфитріонъ	 
 	анабиоз		анабіозъ
 	анадема		анадема	 
 	Анакреон		Анакреонъ	 
 	аналемма		аналемма	 
 	аналитический		аналитическій, аналитическаго, аналитическое	 
 	аналогичный		аналогичный, аналогичнаго	 
 	аналогия		аналогія	 
 	аналой		аналой, аналогій, налой	 
 	анамнез		анамнезъ, въ анамнезѣ	 
 	Ананий		Ананій	 
 	Ананьев		Ананьевъ	 
 	Ананья		Ананья	 
 	анапест		анапестъ	 
 	анархист		анархистъ	 
 	анархический		анархическій	 
 	анархия		анархія	 
 	Анастасия		Анастасія	 
 	анатомируем		анатомируемъ	 
 	анатомия		анатомія	 
 	анафема		анаѳема, предать анаѳемѣ	 
 	анахорет		анахоретъ	 
 	анвелопа		анвелопа	 
 	ангажемент		ангажементъ	 
 	ангел		ангелъ, ангелокъ, ангелочекъ, ангельское, день ангела, ангельскій, объ ангелѣ	 
 	Ангелина		Ангелина	 
 	ангелочек		ангелочекъ, ангелокъ, объ ангелочкѣ	 
 	ангиома		ангіома	 
 	англез		англезъ	 
 	английские		англійскіе, англійскія	 
 	английский		англійскій, англійскаго, по-англійски	 
 	английское		англійское	 
 	англичане		англичане, англичанинъ, англичанка	 
 	Англия		Англія, англичане	 
 	анданте		анданте	 
 	андезин		андезинъ	 
 	андезит		андезитъ	 
 	Андреев		Андреевъ Андрей Андреевичъ, объ Андреевѣ Андреѣ Андреевичѣ	 
 	Андреевский		Андреевскій	 
 	Андрей		Андрей Андреевичъ Андреевъ, объ Андреѣ Андреевичѣ Андреевѣ	 
 	Андриан		Адріанъ, Андреянъ	 
 	андрии		андріи	 
 	Андрия		Андрія	 
 	Андромеда		Андромеда	 
 	аневризма		аневризма	 
 	анекдот		анекдотъ, въ анекдотѣ	 
 	анекдотический		анекдотическій, анекдотическаго	 
 	анектировать		анектировать	 
 	анемия		анемія	 
 	анемометр		анемометръ	 
 	анемон		анемонъ	 
 	анероид		анероидъ	 
 	анестезия		анестезія, анэстезія, анестезировать, анестезіологъ	 
 	анестетический		анестетическій	 
 	анкер		анкеръ	 
 	анкета		анкета, въ анкетѣ	 
 	анкетёр		анкетёръ	 
 	аннексия		аннексія	 
 	Анненский		Анненскій	 
 	аномальное		аномальное, аномальнаго	 
 	анонимного		анонимнаго	 
 	анонимное		анонимное, анонимнаго	 
 	анонимные		анонимные, анонимныя	 
 	анорексия		анорексія	 
 	ансамбль		ансамбль, въ ансамблѣ, безъ ансамбля	 
 	антаблемент		антаблементъ	 
 	антарктический		антарктическій	 
 	Антверпен		Антверпенъ	 
 	антенна		антенна	 
 	антефикс		антефиксъ	 
 	антецедент		антецедентъ	 
 	антиквар		антикварій, антикваріусъ	 
 	антиквариат		антикваріатъ, объ антикваріатѣ	 
 	антимония		антимонія	 
 	Антиохия		Антіохія	 
 	антипатия		антипатія	 
 	антисемит		антисемитъ, антисемитизмъ	 
 	антисептика		антисептика	 
 	антитеза		антитеза, антитезисъ	 
 	антихрист		антихристъ	 
 	Антихрист		Антихристъ	 
 	Антониево-Дымский		Антоніево-Дымскій	 
 	Антониево-Сийский		Антоніево-Сійскій	 
 	Антоний		Антоній	 
 	антракт		антрактъ, въ антрактѣ	 
 	антре		антре	 
 	антрекот		антрекотъ	 
 	антреме		антреме	 
 	антрепренёр		антрепренёръ	 
 	антреприза		антреприза, въ антрепризѣ	 
 	антресоль		антресоль	 
 	антропометрия		антропометрія	 
 	аншеф		аншефъ	 
 	Анфим		Анѳимъ	 
 	Анфиса		Анѳиса	 
 	апартаменты		апартаменты
 	апатия		апатія	 
 	апекс		апексъ	 
 	апеллировать		апеллировать, апеллируетъ, апеллируете	 
 	апелляция		апелляція, апелляціей	 
 	апель		апель	 
 	апельсин		апельсинъ, въ апельсинѣ	 
 	Апеннины		Апеннины	 
 	аперитив		аперитивъ	 
 	апертура		апертура	 
 	аплике		аплике	 
 	аплодисменты		аплодисменты	 
 	апноэ		апноэ	 
 	апогей		апогей	 
 	апограф		апографъ	 
 	апокалипсис		апокалипсисъ — конецъ свѣта; Апокалипсисъ — одна изъ книгъ Новаго Завѣта	 
 	апокриф		апокрифъ	 
 	апологет		апологетъ, объ апологетѣ	 
 	апологетика		апологетика	 
 	апологетический		апологетическій	 
 	апология		апологія	 
 	апоплексия		апоплексія, но апоплектическій	 
 	апоплексический		апоплектическій	 
 	апостол		апостолъ	 
 	апостроф		апострофъ	 
 	апофегма		апоѳегма	 
 	апофеоз		апоѳеозъ	 
 	аппарат		аппаратъ, въ аппаратѣ	 
 	аппарель		аппарель	 
 	аппендикс		аппендиксъ	 
 	аппендицит		аппендицитъ	 
 	аппетит		аппетитъ, пріятнаго аппетита	 
 	аппликация		апликація	 
 	апплике		аплике	 
 	аппретура		аппретура	 
 	Апрелевка		Апрѣлевка, въ Апрѣлевкѣ, апрѣлевскій	 
 	апрелем		апрѣлемъ	 
 	Апрелий		Апрѣлій, Апрѣлія	 
 	апрель		апрѣль, въ апрѣлѣ, апрѣльскій, четвёртаго апрѣля	 
 	апрельские		апрѣльскіе, апрѣльскія	 
 	апрельский		апрѣльскій, апрѣльскаго	 
 	апрельского		апрѣльскаго	 
 	апрельское		апрѣльское	 
 	апсель		апсель	 
 	аптека		аптека, въ аптекѣ, аптечное	 
 	аптекарев		аптекаревъ	 
 	аптекарский		аптекарскій, аптекарскаго	 
 	аптекарь		аптекарь, аптекарша	 
 	аптечка		аптечка, въ аптечкѣ	 
 	аптечного		аптечнаго	 
 	аптечное		аптечное	 
 	аптечные		аптечные, аптечныя	 
 	аптечный		аптечный, аптечнаго	 
 	араб		арабъ, арабскій, арабскаго, но арапъ
 	арабеска		арабеска, арабескъ	 
 	арабские		арабскіе, арабскія	 
 	арабское		арабское	 
 	аравийский		аравійскій	 
 	Аравия		Аравія	 
 	Аракчеев		Аракчеевъ	 
 	Аральское		Аральское	 
 	арамейский		арамейскій	 
 	арап		арапъ, но арабъ	 
 	арапские		арапскіе, арапскія	 
 	арапское		арапское	 
 	арапчонок		арапчонокъ, не арабчонокъ и не арапчёнокъ и не арабчёнокъ!	 
 	арбалет		арбалетъ	 
 	Аргентина		Аргентина	 
 	аргентит		аргентитъ	 
 	аргумент		аргументъ, объ аргументѣ	 
 	аргументация		аргументація	 
 	Ардалион		Ардаліонъ, Ардальонъ	 
 	Арденские		Арденскія	 
 	Аред		Аредъ	 
 	арена		арена, на аренѣ	 
 	аренда		аренда, при арендѣ	 
 	арендатор		арендаторъ	 
 	арендный		арендный, аренднаго	 
 	арендовать		арендовать	 
 	арендует		арендуетъ	 
 	Аренсбург		Аренсбургъ	 
 	ареометр		ареометръ	 
 	ареопаг		ареопагъ	 
 	арест		арестъ, при арестѣ	 
 	арестант		арестантъ, объ арестантѣ	 
 	Ариадна		Аріадна	 
 	Ариан		Аріанъ	 
 	ариетта		аріетта	 
 	ариец		аріецъ, арійцемъ, арійцевъ, объ арійцѣ	 
 	арийские		арійскіе, арійскія	 
 	арийский		арійскій, арійскаго	 
 	ариозо		аріозо	 
 	аристократ		аристократъ, аристократія	 
 	аристократического		аристократическаго	 
 	Аристотель		Аристотель	 
 	арифметика		ариѳметика, въ ариѳметикѣ	 
 	арифмометр		ариѳмометръ	 
 	Ариэль		Аріель	 
 	ария		арія	 
 	аркебуза		аркебуза	 
 	арлекин		арлекинъ	 
 	армеец		армеецъ	 
 	армейский		армейскій	 
 	Армения		Арменія	 
 	армерия		армерія	 
 	армия		армія, въ арміи, арміей	 
 	армяне		армяне	 
 	ароматический		ароматическій	 
 	арпеджио		арпеджіо	 
 	арретир		арретиръ	 
 	арсенал		арсеналъ, въ арсеналѣ	 
 	Арсений		Арсеній, Арсентій	 
 	артезианский		артезіанскій	 
 	артель		артель, артельщикъ	 
 	артельного		артельнаго	 
 	артельное		артельное	 
 	артельные		артельные, артельныя	 
 	артельный		артельный, артельнаго	 
 	Артём		Артёмъ	 
 	Артемида		Артемида	 
 	Артемий		Артемій	 
 	Артемон		Артемонъ	 
 	артерия		артерія	 
 	артиллерия		артиллерія	 
 	артишок		артишокъ	 
 	артобстрел		артобстрѣлъ, при артобстрѣлѣ	 
 	арфа		арфа, на арфѣ	 
 	архаизм		архаизмъ	 
 	архаичный		архаичный, архаичнѣе, архаиченъ	 
 	архангел		архангелъ, объ архангелѣ	 
 	Архангельск		Архангельскъ	 
 	архаровец		архаровецъ	 
 	архей		архей, архейскій, архейскаго	 
 	археография		археографія, археографъ, археографическій	 
 	археологический		археологическій	 
 	археология		археологія	 
 	археоптерикс		археоптериксъ	 
 	архетип		архетипъ	 
 	архибестия		архибестія	 
 	архив		архивъ, въ архивѣ	 
 	архивариус		архиваріусъ, архиварій	 
 	архивного		архивнаго	 
 	архивное		архивное	 
 	архивные		архивные, архивныя	 
 	архивоведение		архивовѣдѣніе	 
 	архидьякон		архидьяконъ, архидіаконъ	 
 	архиепархия		архіепархія	 
 	архиепископ		архіепископъ	 
 	архиерей		архіерей, объ архіереѣ	 
 	архимандрит		архимандритъ	 
 	Архимед		Архимедъ	 
 	архипелаг		архипелагъ, на архипелагѣ	 
 	архитектоника		архитектоника	 
 	архитектор		архитекторъ, объ архитекторѣ	 
 	архитектура		архитектура, въ архитектурѣ	 
 	архитектурного		архитектурнаго	 
 	архитектурные		архитектурные, архитектурныя	 
 	архитектурный		архитектурный, архитектурнаго	 
 	Арцыбашев		Арцыбашевъ	 
 	арьергард		арьергардъ и аріергардъ, въ арьергардѣ	 
 	асбест		асбестъ, азбестъ
 	асей		асей, асейка	 
 	асептика		асептика	 
 	асессор		асессоръ, коллежскій асессоръ, не ассесоръ!	 
 	асимметрия		асимметрія	 
 	аскет		аскетъ, объ аскетѣ	 
 	Асмодей		Асмодей	 
 	аспект		аспектъ, въ аспектѣ	 
 	ассамблея		ассамблея, въ ассамблеѣ	 
 	ассенизация		ассенизація	 
 	ассигнационный		ассигнаціонный	 
 	ассигнация		ассигнація, ассигнаціей, ассигнаціи	 
 	ассимиляция		ассимиляція	 
 	Ассирия		Ассирія	 
 	ассистент		ассистентъ, объ ассистентѣ	 
 	ассортимент		ассортиментъ, въ ассортиментѣ	 
 	ассоциация		ассоціація	 
 	ассюре		ассюре	 
 	астения		астенія	 
 	астериск		астерискъ	 
 	астероид		астероидъ, на астероидѣ	 
 	асфальт		асфальтъ, на асфальтѣ	 
 	атанде		атанде
 	атеизм		атеизмъ	 
 	атеист		атеистъ	 
 	ателье		ателье	 
 	Атлантический		Атлантическій	 
 	атлет		атлетъ, атлетическій	 
 	атмосфера		атмосфера, въ атмосферѣ, атмосферное	 
 	атония		атонія	 
 	атрибут		атрибутъ, аттрибутъ	 
 	атриум		атріумъ	 
 	атрофия		атрофія	 
 	атташе		атташе	 
 	аттестат		аттестатъ, въ аттестатѣ	 
 	аттестация		аттестація	 
 	атторней		атторней	 
 	аттракцион		аттракціонъ	 
 	аттракция		аттракція	 
 	ату его		ату-его!	 
 	аудиенция		аудіенція
 	аудитор		аудиторъ и авдиторъ	 
 	аудитория		аудиторія	 
 	аукает		аукаетъ, аукается, аукнется	 
 	аукцион		аукціонъ, на аукціонѣ	 
 	аустерия		аустерія	 
 	Аустерлиц		Аустерлицъ	 
 	аутентическое		аутентическое	 
 	аутентичный		аутентичный	 
 	аутодафе		аутодафе	 
 	Афанасий		Аѳанасій, Аѳанасія
 	Афанасьев		Аѳанасьевъ Аѳанасій Аѳанасьевичъ, объ Аѳанасьевѣ Аѳанасіи Аѳанасьевичѣ	 
 	Афанасьевич		Аѳанасьевичъ, Аѳанасьевна и Аѳанасіевичъ, Аѳанасіевна	 
 	афедрон		афедронъ	 
 	афелий		афелій	 
 	афера		афера, объ аферѣ	 
 	аферист		аферистъ	 
 	Афина		Аѳина	 
 	Афиноген		Аѳиногенъ	 
 	Афинодор		Аѳинодоръ	 
 	Афины		Аѳины	 
 	афиша		афиша, на афишѣ, афишей	 
 	афишевать		афишевать	 
 	афишёр		афишёръ	 
 	афиширует		афишируетъ, афишируете, афишируемъ, афишируешь	 
 	Афон		Аѳонъ, на Аѳонѣ	 
 	афонский		аѳонскій	 
 	афоризм		афоризмъ, въ афоризмѣ	 
 	Африка		Африка, въ Африкѣ	 
 	африкандер		африкандеръ	 
 	африканер		африкандеръ	 
 	африканец		африканецъ, африканцемъ, объ африканцѣ	 
 	афродизиак		афродизіакъ	 
 	Афродита		Афродита	 
 	аффект		аффектъ	 
 	ахать		ахать, ахаешь, ахаетъ, ахаете, ахаемъ
 	Ахерон		Ахеронъ	 
 	Ахиллес		Ахиллесъ	 
 	ахинея		ахинея, нести ахинею	 
 	ахнуть		ахнуть, ахнешь, ахнетъ	 
 	ахроматический		ахроматическій	 
 	ахтерштевень		ахтерштевень	 
 	ацетилен		ацетиленъ
 	ацетон		ацетонъ, въ ацетонѣ	 
 	ацтеки		ацтеки	 
 	аэродром		аэродромъ, на аэродромѣ
 	аэроплан		аэропланъ, на аэропланѣ	 
 	аэростат		аэростатъ, на аэростатѣ
 	баба		баба, къ бабѣ
 	бабёнка		бабёнка, о бабёнкѣ	 
 	бабушка		бабушка, о бабушкѣ	 
 	бабье		бабье, но бабьё	 
 	бабьё		бабьё, но бабье	 
 	Баб-эль-Мандебский		Бабельмандебскій	 
 	баварец		баварецъ, баварцемъ, о баварцѣ	 
 	Бавария		Баварія, баварецъ, баварцемъ, баварскій, баварскихъ	 
 	багет		багетъ	 
 	багор		багоръ	 
 	багрение		багреніе и багренье	 
 	багрец		багрецъ, багрецовый	 
 	багровое		багровое	 
 	багровые		багровые, багровыя	 
 	багровый		багровый, багроваго	 
 	багроветь		багровѣть, багровѣетъ	 
 	багрянеть		багрянѣть, багрянѣетъ	 
 	багрянец		багрянецъ, багрянцемъ, въ багрянцѣ	 
 	багряница		багряница, въ багряницѣ	 
 	багряное		багряное	 
 	багряные		багряные, багряныя	 
 	багряный		багряный, багрянаго	 
 	бадеечка		бадеечка	 
 	бадейка		бадейка, бадьёй, бадьёю	 
 	Баден-Баден		Баденъ-Баденъ	 
 	баять		баять, баетъ, баешь, баемъ, баютъ	 
 	базамент		базаментъ	 
 	базар		базаръ, на базарѣ	 
 	Базедова		Базедова	 
 	Базель		Базель	 
 	бакалавр		бакалавръ	 
 	бакалейщик		бакалейщикъ	 
 	бакалея		бакалея, въ бакалеѣ	 
 	бакен		бакенъ, на бакенѣ	 
 	бакенбарды		бакенбарды, ед. ч. — бакенбарда и бакенбардъ	 
 	бактерия		бактерія	 
 	бал		балъ	 
 	балаган		балаганъ, въ балаганѣ	 
 	балагурить		балагурить	 
 	балалаечник		балалаечникъ	 
 	балалайка		балалайка, на балалайкѣ	 
 	баланец		баланецъ	 
 	баланс		балансъ, на балансѣ	 
 	балансёр		балансёръ	 
 	балбес		балбесъ, о балбесѣ	 
 	балдахин		балдахинъ	 
 	балдеть		балдѣть, балдѣю, балдѣешь	 
 	Балеарские		Балеарскіе	 
 	балерина		балерина	 
 	балестра		балестра	 
 	балет		балетъ, въ балетѣ	 
 	балетмейстер		балетмейстеръ	 
 	балкон		балконъ, на балконѣ, балконное	 
 	балл		баллъ	 
 	баллада		баллада, въ балладѣ	 
 	балласт		балластъ	 
 	баллотировка		баллотировка	 
 	баловаться		баловаться	 
 	баловень		баловень, баловнемъ, о баловнѣ	 
 	балтийский		балтійскій	 
 	Балтийское		Балтійское	 
 	балуешь		балуешь, балуетъ, балуемъ	 
